Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJAUTOFIN,EQ,04 10 2001,25.65,26,26,26,26,26,26,200,5200,, , 
BAJAUTOFIN,EQ,05 10 2001,26,26.3,27,26.15,27,27,26.91,1300,34980,, , 
BAJAUTOFIN,EQ,09 10 2001,27,25.7,25.7,25.7,25.7,25.7,25.7,10,257,, , 
BAJAUTOFIN,EQ,11 10 2001,25.7,27,27,27,27,27,27,100,2700,, , 
BAJAUTOFIN,EQ,12 10 2001,27,27,27,27,27,27,27,350,9450,, , 
BAJAUTOFIN,EQ,15 10 2001,27,27,27.5,27,27.5,27.45,27.35,1000,27350,, , 
BAJAUTOFIN,EQ,17 10 2001,27.45,27,27,26.9,27,27,26.97,1500,40450,, , 
BAJAUTOFIN,EQ,22 10 2001,27,27,27.3,27,27.25,27.25,27.22,1300,35380,, , 
BAJAUTOFIN,EQ,24 10 2001,27.25,26.5,26.75,26.5,26.75,26.75,26.63,200,5325,, , 
BAJAUTOFIN,EQ,25 10 2001,26.75,29.9,30,29.9,30,30,29.93,150,4490,, , 
BAJAUTOFIN,EQ,31 10 2001,30,29.4,29.4,29.4,29.4,29.4,29.4,100,2940,, , 
BAJAUTOFIN,EQ,07 11 2001,29.4,31,31,31,31,31,31,100,3100,, , 
BAJAUTOFIN,EQ,09 11 2001,31,29.1,29.1,29.05,29.05,29.05,29.06,200,5812.5,, , 
BAJAUTOFIN,EQ,12 11 2001,29.05,30,30,30,30,30,30,200,6000,, , 
BAJAUTOFIN,EQ,15 11 2001,30,31.95,33,31.95,32,32,32.13,350,11245,, , 
BAJAUTOFIN,EQ,19 11 2001,32,30,32.5,29,32.5,32.5,29.39,605,17782.5,, , 
BAJAUTOFIN,EQ,20 11 2001,32.5,33.25,33.25,33.25,33.25,33.25,33.25,100,3325,, , 
BAJAUTOFIN,EQ,21 11 2001,33.25,34.95,35.5,34.5,35.5,35.05,34.98,850,29734.75,, , 
BAJAUTOFIN,EQ,22 11 2001,35.05,35,35.5,34.5,34.5,34.5,34.78,450,15650,, , 
BAJAUTOFIN,EQ,23 11 2001,34.5,34.25,34.9,34.25,34.9,34.9,34.4,303,10421.9,, , 
BAJAUTOFIN,EQ,26 11 2001,34.9,35.25,36,34.65,34.9,34.9,35,700,24502.5,, , 
BAJAUTOFIN,EQ,27 11 2001,34.9,37,37,34.7,34.7,34.7,35.55,160,5687.5,, , 
BAJAUTOFIN,EQ,28 11 2001,34.7,34,35.5,34,35.5,35.5,34.98,710,24838,, , 
BAJAUTOFIN,EQ,29 11 2001,35.5,35.9,35.9,35.9,35.9,35.9,35.9,50,1795,, , 
BAJAUTOFIN,EQ,03 12 2001,35.9,35,35.5,35,35.5,35.5,35.22,500,17610,, , 
BAJAUTOFIN,EQ,04 12 2001,35.5,33.35,36,33.35,35.55,35.55,35.29,701,24740.5,, , 
BAJAUTOFIN,EQ,05 12 2001,35.55,35.5,35.7,35.5,35.7,35.7,35.5,510,18107,, , 
BAJAUTOFIN,EQ,06 12 2001,35.7,35.5,35.65,35.5,35.65,35.65,35.59,500,17795,, , 
BAJAUTOFIN,EQ,07 12 2001,35.65,34.25,35.5,34.25,34.55,34.55,35.23,1300,45805,, , 
BAJAUTOFIN,EQ,10 12 2001,34.55,34.5,34.5,34.5,34.5,34.5,34.5,100,3450,, , 
BAJAUTOFIN,EQ,11 12 2001,34.5,35.2,35.5,34.6,35.05,35.05,35.11,500,17555,, , 
BAJAUTOFIN,EQ,12 12 2001,35.05,34.2,35.25,34.1,34.75,34.75,35.14,2325,81697.5,, , 
BAJAUTOFIN,EQ,13 12 2001,34.75,34.5,36.6,34.5,34.6,34.6,35.36,500,17680,, , 
BAJAUTOFIN,EQ,18 12 2001,34.6,35.5,35.5,35.5,35.5,35.5,35.5,50,1775,, , 
BAJAUTOFIN,EQ,19 12 2001,35.5,35.5,36,35.5,36,36,35.54,27,959.5,, , 
BAJAUTOFIN,EQ,20 12 2001,36,34,34.1,34,34.1,34.1,34.07,300,10220,, , 
BAJAUTOFIN,EQ,21 12 2001,34.1,34.25,34.25,33.1,33.1,33.1,34.11,450,15350,, , 
BAJAUTOFIN,EQ,24 12 2001,33.1,33,34.9,33,34.9,34.9,33.01,201,6634.9,, , 
BAJAUTOFIN,EQ,26 12 2001,34.9,34.9,34.9,34.9,34.9,34.9,34.9,3,104.7,, , 
BAJAUTOFIN,EQ,27 12 2001,34.9,31.8,33.9,31.8,33.05,33.05,32.96,1679,55333.2,, , 
BAJAUTOFIN,EQ,31 12 2001,33.05,33.95,34,33.55,33.55,33.55,33.88,900,30487.5,, , 
BAJAUTOFIN,EQ,01 01 2002,33.55,33.6,34,33,34,34,33.84,500,16917.5,,450,90
BAJAUTOFIN,EQ,02 01 2002,34,34.85,34.85,33.85,34.2,34.2,33.97,1448,49186.6,,1348,93.09
BAJAUTOFIN,EQ,03 01 2002,34.2,35,35,34.05,34.5,34.5,34.28,600,20570,,600,100
BAJAUTOFIN,EQ,07 01 2002,34.5,34.05,35,34.05,34.25,34.25,34.24,145,4965,,145,100
BAJAUTOFIN,EQ,08 01 2002,34.25,34.05,34.5,34,34,34,34.07,800,27255,,800,100
BAJAUTOFIN,EQ,09 01 2002,34,34.25,35.95,34.25,34.55,34.75,34.93,1303,45516,,1101,84.5
BAJAUTOFIN,EQ,10 01 2002,34.75,35.4,35.5,34.25,34.25,34.4,34.98,1050,36725,,450,42.86
BAJAUTOFIN,EQ,11 01 2002,34.4,34.35,34.75,34.35,34.35,34.35,34.36,675,23196.25,,675,100
BAJAUTOFIN,EQ,14 01 2002,34.35,35.1,36.35,34.2,34.2,34.2,35.18,2888,101609.6,,2588,89.61
BAJAUTOFIN,EQ,15 01 2002,34.2,35.5,36.75,35.5,36,36,36.33,950,34510,,950,100
BAJAUTOFIN,EQ,16 01 2002,36,38.75,38.9,36,38.9,38.65,37.46,19969,747941.05,,16870,84.48
BAJAUTOFIN,EQ,17 01 2002,38.65,39.05,41.6,38.25,39,39,39.75,6938,275793.65,,4942,71.23
BAJAUTOFIN,EQ,18 01 2002,39,38.5,40.85,38.5,38.75,38.95,38.97,5697,221991.25,,4861,85.33
BAJAUTOFIN,EQ,21 01 2002,38.95,38.25,39.1,37.5,39,38.7,38.6,1270,49020.5,,1020,80.31
BAJAUTOFIN,EQ,22 01 2002,38.7,38.75,39,38,38,38.2,38.35,3580,137282.5,,3380,94.41
BAJAUTOFIN,EQ,23 01 2002,38.2,38.75,41.25,38.75,40.5,40.45,40.37,6500,262418.5,,6400,98.46
BAJAUTOFIN,EQ,24 01 2002,40.45,41.2,41.7,39.2,40.25,40.55,40.59,5719,232108.95,,4869,85.14
BAJAUTOFIN,EQ,25 01 2002,40.55,39.1,40.8,39.1,39.5,39.5,39.72,2225,88382,,2125,95.51
BAJAUTOFIN,EQ,28 01 2002,39.5,40.3,40.3,39.55,40.3,40,39.84,2195,87440.75,,1885,85.88
BAJAUTOFIN,EQ,29 01 2002,40,39.55,40,39.55,39.8,39.8,39.8,1750,69657,,1750,100
BAJAUTOFIN,EQ,30 01 2002,39.8,39,40.9,39,40.7,40.4,39.89,3200,127660.7,,2100,65.63
BAJAUTOFIN,EQ,31 01 2002,40.4,40.65,40.7,40.3,40.35,40.35,40.51,1130,45776,,1130,100
BAJAUTOFIN,EQ,01 02 2002,40.35,38.55,40.45,38.55,40.45,40.45,39.96,2905,116079,,2805,96.56
BAJAUTOFIN,EQ,04 02 2002,40.45,40.05,40.5,40,40.45,40.45,40.36,900,36327.5,,850,94.44
